Brewery name,City,State,Alex
Beltway,Sterling,VA,10/15/2016
Old Ox,Ashburn,VA,10/15/2016
Yards,Philadelphia,PA,10/16/2016
42 North,East Aurora,NY,10/21/2016
Hamburg,Hamburg,NY,10/21/2016
Bone Up,Boston,MA,11/5/2016
Trillium,Canton,MA,11/5/2016
Jack's Abby,Framingham,MA,11/6/2016
Defiant,Pearl River,NY,11/28/2016
Newburgh,Newburgh,NY,2/18/2017
Sloop,Elizaville,NY,2/18/2017
Bridge and Tunnel,Queens,NY,3/11/2017
Barn,San Diego,CA,3/18/2017
Mike Hess,San Diego,CA,3/18/2017
Modern Times,San Diego,CA,3/18/2017
North Park,San Diego,CA,3/18/2017
Half Door,San Diego,CA,3/19/2017
Resident,San Diego,CA,3/19/2017
Arizona Wilderness,Phoenix,AZ,3/21/2017
Beer Research Institute,Phoenix,AZ,3/21/2017
Peoria Artisan,Phoenix,AZ,3/22/2017
8-Bit,Phoenix,AZ,3/23/2017
Helio Basin,Phoenix,AZ,3/24/2017
Wren House,Phoenix,AZ,3/24/2017
Folksbier,Brooklyn,NY,4/23/2017
Lineup,Brooklyn,NY,4/29/2017
Wartega,Brooklyn,NY,4/29/2017
Cellarmaker,San Francisco,CA,5/26/2017
Southern Pacific,San Francisco,CA,5/26/2017
Fieldwork,Berkeley,CA,5/27/2017
Rare Barrel,Berkeley,CA,5/27/2017
RiverWorks,Buffalo,NY,6/11/2017
The Brewer's Art,Baltimore,MD,7/22/2017
Port Jeff,Port Jefferson,NY,8/6/2017
Circa,Brooklyn,NY,8/11/2017
Dark City,Asbury Park,NJ,8/12/2017
Five boroughs,Brooklyn,NY,8/26/2017
Mountain Toad,Golden,CO,8/27/2017
New Image,Arvada,CO,8/27/2017
Fiction,Denver,CO,8/28/2017
Station 26,Denver,CO,8/28/2017
Platform,Columbus,OH,9/6/2017
4 Noses,Broomfield,CO,9/9/2017
Hideaway Park,Winter Park,CO,9/15/2017
Casey,Glenwood,CO,9/21/2017
New Terrain,Golden,CO,9/22/2017
Avery,Boulder,CO,9/24/2017
Bierstadt Lagerhaus,Denver,CO,9/24/2017
Liquid Mechanics,Lafayette,CO,9/24/2017
Ratio,Denver,CO,9/24/2017
Wynkoop,Denver,CO,9/27/2017
Bruz,Denver,CO,10/1/2017
14er,Denver,CO,10/7/2017
Hogshead,Denver,CO,10/7/2017
Joyride,Denver,CO,10/7/2017
10 Barrel,Denver,CO,10/13/2017
Grandma's House,Denver,CO,10/15/2017
Westfax,Lakewood,CO,10/18/2017
Outer Range,Frisco,CO,10/20/2017
Bakers Brewery,Silverthorne,CO,10/22/2017
Cerebral,Denver,CO,10/27/2017
Upslope,Boulder,CO,10/27/2017
White Labs,Boulder,CO,10/27/2017
Call to Arms,Denver,CO,10/27/2017
Coors,Golden,CO,10/29/2017
Little Machine,Denver,CO,11/3/2017
Black Project,Denver,CO,11/4/2017
Mockery,Denver,CO,11/4/2017
Twisted Pine,Boulder,CO,11/18/2017
Baere,Denver,CO,12/2/2017
Epic,Denver,CO,12/10/2017
Odyssey Beerworks,Arvada,CO,12/14/2017
Dillon Dam,Dillon,CO,12/16/2017
Odd13,Lafayette,CO,12/17/2017
Czig Meister,Hackettstown,NJ,12/29/2017
Man Skirt,Hackettstown,NJ,12/29/2017
Westbound & Down,Idaho Springs,CO,1/14/2018
Vision Quest,Boulder,CO,1/15/2018
West Flanders,Boulder,CO,1/15/2018
Trve,Denver,CO,1/28/2018
Zuni Street,Denver,CO,2/2/2018
Bonfire,Eagle,CO,2/3/2018
Fermaentra,Denver,CO,2/11/2018
Strange,Denver,CO,2/16/2018
Copper Kettle,Denver,CO,2/25/2018
Intrepid Sojourner,Denver,CO,3/1/2018
Smith and Lentz,Nashville,TN,3/2/2018
Yazoo,Nashville,TN,3/3/2018
Bearded Iris,Nashville,TN,3/4/2018
Huss,Phoenix,AZ,3/9/2018
Helton,Phoenix,AZ,3/10/2018
Dry Dock,Denver,CO,3/14/2018
Alternation,Denver,CO,3/17/2018
Goldspot,Denver,CO,3/17/2018
Jessup Farm Barrel House,Fort Collins,CO,3/19/2018
Weldwerks,Greeley,CO,3/19/2018
Spangalang,Denver,CO,4/19/2018
Golden City,Golden,CO,4/27/2018
Cerveceria Colorado,Denver,CO,5/5/2018
Lumpy Ridge,Estes Park,CO,5/11/2018
Declaration,Denver,CO,5/12/2018
Barrels and Bottles,Golden,CO,5/16/2018
Russian River,Santa Rosa,CA,5/18/2018
Comrade,Denver,CO,6/5/2018
Piece Brewing,Chicago,IL,6/8/2018
Maplewood,Chicago,IL,6/8/2018
Band of Bohemia,Chicago,IL,6/9/2018
Half Acre,Chicago,IL,6/9/2018
Marz Community Beer,Chicago,IL,6/10/2018
Off Color,Chicago,IL,6/10/2018
Pressure Drop,Buffalo,NY,6/15/2018
Angry James,Silverthorne,CO,7/2/2018
Frolic,Westminster,CO,7/10/2018
Novel Strand,Denver,CO,8/10/2018
Banded Oak,Denver,CO,8/10/2018
Hay Camp,Rapid City,SD,8/18/2018
Lost Cabin,Rapid City,SD,8/18/2018
Freedom’s Edge,Cheyenne,WY,8/19/2018
Blue Moon,Denver,CO,8/20/2018
Spice Trade,Arvada,CO,8/22/2018
